"Year","Team","Conference","Division","Rating","Ranking"
"2023","Villanova","CAA","","-7.8","102"
"2023","Wake Forest","ACC","Atlantic","-7.9","103"
"2023","Boston College","ACC","Atlantic","-8.5","104"
"2023","San Diego State","Mountain West","West","-8.6","105"
"2023","Central Michigan","Mid-American","West","-8.6","105"
"2023","San José State","Mountain West","West","-8.7","107"
"2023","Hawai'i","Mountain West","West","-8.7","107"
"2023","Louisiana Monroe","Sun Belt","West","-8.9","109"
"2023","Temple","American Athletic","","-8.9","109"
"2023","Jacksonville State","Conference USA","","-9.1","111"
"2023","Indiana","Big Ten","East","-9.5","112"
"2023","New Hampshire","CAA","","-9.6","113"
"2023","Georgia Southern","Sun Belt","East","-10.2","114"
"2023","New Mexico State","Conference USA","","-10.5","115"
"2023","Florida A&M","SWAC","East","-10.6","116"
"2023","Charlotte","American Athletic","","-10.9","117"
"2023","Florida Atlantic","American Athletic","","-11.0","118"
"2023","Bowling Green","Mid-American","East","-11.1","119"
"2023","New Mexico","Mountain West","Mountain","-11.2","120"
"2023","Holy Cross","Patriot","","-11.2","120"
"2023","Vanderbilt","SEC","East","-11.2","120"
"2023","Nevada","Mountain West","West","-11.3","123"
"2023","Fordham","Patriot","","-11.6","124"
"2023","Virginia","ACC","Coastal","-12.4","125"
"2023","UT Martin","Big South-OVC","","-12.4","125"
"2023","Oklahoma State","Big 12","","-12.5","127"
"2023","Central Arkansas","UAC","","-12.6","128"
"2023","Northern Illinois","Mid-American","West","-13.2","129"
"2023","Sam Houston State","Conference USA","","-13.2","129"
"2023","Delaware","CAA","","-13.3","131"
"2023","Arkansas State","Sun Belt","West","-13.3","131"
"2023","Missouri State","MVFC","","-13.9","133"
"2023","Rhode Island","CAA","","-14.4","134"
"2023","Louisiana","Sun Belt","West","-14.7","135"
