"Season","Id","Name","Position","Team","Conference","CountablePlays","AveragePPA All","AveragePPA Pass","AveragePPA Rush","TotalPPA All","TotalPPA Pass","TotalPPA Rush"
"2023","4430914","Lawrence Arnold","WR","Kansas","Big 12","9","1.183","1.298","0.265","10.647","10.382","0.265"
"2023","4877203","Gage Larvadain","WR","Miami (OH)","Mid-American","20","1.194","1.194","","23.889","23.889",""
"2023","4430470","TJ Sheffield","WR","Purdue","Big Ten","7","1.196","1.196","","8.37","8.37",""
"2023","4431606","Ahmonte Watkins","RB","New Mexico State","Conference USA","12","1.198","0.333","1.486","14.375","1","13.375"
"2023","4711421","C.J. Smith","WR","Georgia","SEC","5","1.204","1.547","-0.167","6.02","6.187","-0.167"
"2023","4567044","Taylor Morin","WR","Wake Forest","ACC","6","1.209","1.209","","7.256","7.256",""
"2023","4571896","Kacper Rutkiewicz","WR","Northern Illinois","Mid-American","14","1.212","1.211","1.232","16.975","15.742","1.232"
"2023","4686104","Johnny Wilson","WR","Florida State","ACC","9","1.214","1.214","","10.93","10.93",""
"2023","4597703","Tory Horton","WR","Colorado State","Mountain West","5","1.216","1.216","","6.078","6.078",""
"2023","4686343","Braden Smith","WR","Cincinnati","Big 12","11","1.22","1.22","","13.421","13.421",""
"2023","4361527","Eddie Lewis","WR","South Carolina","SEC","7","1.222","1.222","","8.557","8.557",""
"2023","4427575","Jha'Quan Jackson","WR","Tulane","American Athletic","11","1.224","1.224","","13.459","13.459",""
"2023","4608679","Will Sheppard","WR","Vanderbilt","SEC","19","1.226","1.226","","23.297","23.297",""
"2023","4613202","Kyle Williams","WR","Washington State","Pac-12","7","1.231","1.579","-0.854","8.62","9.474","-0.854"
"2023","4361492","Amad Anderson Jr.","WR","Temple","American Athletic","6","1.234","1.234","","7.403","7.403",""
"2023","4575831","Taron Keith","RB","Bowling Green","Mid-American","13","1.234","1.663","0.866","16.041","9.98","6.061"
"2023","4608520","Sam Olson","TE","San José State","Mountain West","7","1.244","1.027","2.545","8.707","6.162","2.545"
"2023","4689266","Drew Donley","WR","Texas State","Sun Belt","6","1.245","1.245","","7.47","7.47",""
"2023","4880734","Jakarius Caston","WR","Southern Mississippi","Sun Belt","8","1.247","1.329","0.669","9.973","9.303","0.669"
"2023","4428486","Treon Sibley","WR","Liberty","Conference USA","7","1.255","1.255","","8.785","8.785",""
"2023","4682654","Jeremiah Ballard","WR","UTEP","Conference USA","6","1.255","1.255","","7.533","7.533",""
"2023","4361736","Joseph Scates","WR","Memphis","American Athletic","7","1.258","1.258","","8.808","8.808",""
"2023","4432338","Luke Lachey","TE","Iowa","Big Ten","9","1.261","1.261","","11.345","11.345",""
"2023","4428938","Dante Wright","WR","Temple","American Athletic","13","1.262","1.369","-0.016","16.412","16.428","-0.016"
"2023","4592572","Mason Tharp","TE","Texas Tech","Big 12","5","1.264","1.264","","6.318","6.318",""
"2023","4601283","Trevion Cooley","RB","Georgia Tech","ACC","10","1.272","4.277","0.938","12.718","4.277","8.442"
"2023","4433830","Luke Grimm","WR","Kansas","Big 12","8","1.275","1.275","","10.197","10.197",""
"2023","4685278","Luther Burden III","WR","Missouri","SEC","15","1.277","1.385","-0.227","19.16","19.386","-0.227"
"2023","4432773","Brian Thomas Jr.","WR","LSU","SEC","15","1.282","1.282","","19.23","19.23",""
"2023","4714290","Fred Farrier II","WR","UAB","American Athletic","6","1.295","1.295","","7.77","7.77",""
"2023","4258412","Perry Carter","WR","Jacksonville State","Conference USA","5","1.298","1.298","","6.491","6.491",""
"2023","4428811","Xavier Weaver","WR","Colorado","Pac-12","19","1.298","1.298","","24.658","24.658",""
"2023","4427773","Peter Leblanc","WR","Louisiana","Sun Belt","6","1.301","1.301","","7.808","7.808",""
"2023","4808839","Isaiah Bond","WR","Alabama","SEC","7","1.305","1.305","","9.135","9.135",""
"2023","4686374","Steven McBride","WR","Hawai'i","Mountain West","16","1.32","1.32","","21.126","21.126",""
"2023","4432267","Joey Hobert","WR","Texas State","Sun Belt","7","1.32","1.32","","9.241","9.241",""
"2023","4574596","Quinton Lane","WR","Jacksonville State","Conference USA","5","1.322","1.322","","6.608","6.608",""
"2023","4871040","Creed Whittemore","WR","Mississippi State","SEC","5","1.326","1.673","-0.063","6.628","6.692","-0.063"
"2023","4429939","Jawhar Jordan","RB","Louisville","ACC","9","1.338","0.84","1.48","12.039","1.68","10.358"
"2023","4573222","Brett Buckman","WR","Connecticut","FBS Independents","6","1.339","1.339","","8.036","8.036",""
"2023","4690117","Ja'Cyais Credle","WR","Georgia State","Sun Belt","5","1.339","1.339","","6.694","6.694",""
"2023","4433940","Abdur-Rahmaan Yaseen","WR","Purdue","Big Ten","8","1.345","1.345","","10.757","10.757",""
"2023","4567784","Jacolby George","WR","Miami","ACC","15","1.354","1.354","","20.313","20.313",""
"2023","4687507","Kobe Drake","WR","Memphis","American Athletic","7","1.354","1.354","","9.477","9.477",""
"2023","4360637","Jeshaun Jones","WR","Maryland","Big Ten","13","1.364","1.364","","17.738","17.738",""
"2023","5155179","Jacob De Jesus","WR","UNLV","Mountain West","5","1.369","1.369","","6.846","6.846",""
"2023","5123663","Isaac Teslaa","WR","Arkansas","SEC","8","1.374","1.374","","10.993","10.993",""
"2023","4683221","Chris Parker","WR","Central Michigan","Mid-American","7","1.382","1.382","","9.676","9.676",""
"2023","4567040","Cameron Hite","TE","Wake Forest","ACC","5","1.388","1.388","","6.938","6.938",""
"2023","4890060","Jack Hestera","WR","Charlotte","American Athletic","6","1.388","1.388","","8.33","8.33",""
"2023","4429239","Zae Baines","WR","Temple","American Athletic","5","1.391","1.391","","6.954","6.954",""
